_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
7633061,20159,BP-29639,1623,Yonge St,Yonge St,East,Glen Elm Ave,North,,12.0,,Ring,Existing,0,313255.209,4839084.516,-79.39511271399999,43.691661597,"{u'type': u'Point', u'coordinates': (-79.3951127151, 43.6916615957)}"
7633062,20160,BP-29662,173-175,Eglinton Ave E,Eglinton Ave E,South,Redpath Ave,East,,12.0,,Ring,Existing,0,313491.809,4840891.533,-79.392148535,43.707924307,"{u'type': u'Point', u'coordinates': (-79.3921485336, 43.7079243078)}"
7633063,20161,BP-29695,24,Merton St,Merton St,North,Ln E Yonge N Merton,West,,12.0,Midtown Yonge,Ring,Existing,0,313237.235,4839607.377,-79.395327495,43.696368218,"{u'type': u'Point', u'coordinates': (-79.3953274975, 43.6963682169)}"
7633064,20162,BP-29698,218,Merton St,Merton St,North,Pailton Cres,South,,12.0,,Ring,Existing,0,313691.016,4839737.8319999995,-79.389695741,43.697537186000005,"{u'type': u'Point', u'coordinates': (-79.3896957391, 43.697537184)}"
7633065,20163,BP-29702,218,Merton St,Merton St,North,Pailton Cres,South,,12.0,,Ring,Existing,0,313688.42600000004,4839736.984,-79.389727883,43.697529579,"{u'type': u'Point', u'coordinates': (-79.3897278852, 43.697529582)}"
7633066,20164,BP-29709,250,Davisville Ave,Davisville Ave,North,Mount Pleasant Rd,East,,15.0,,Ring,Existing,0,313937.76399999997,4840061.916,-79.386629024,43.700451356,"{u'type': u'Point', u'coordinates': (-79.3866290286, 43.7004513556)}"
7633067,20165,BP-29721,2,Glen Elm Ave,Yonge St,East,Glen Elm Ave,North,,12.0,,Ring,Existing,0,313259.563,4839058.626,-79.395059104,43.691428503000004,"{u'type': u'Point', u'coordinates': (-79.39505911, 43.691428503)}"
7633068,20166,BP-29728,112,Merton St,Merton St,North,Ln E Yonge N Merton,East,,12.0,,Ring,Existing,0,313429.269,4839661.98,-79.392944246,43.696857506,"{u'type': u'Point', u'coordinates': (-79.3929442496, 43.696857507)}"
7633069,20167,BP-29729,1481,Yonge St,Yonge St,East,Delisle Ave,South,,12.0,Yonge & St. Clair,Ring,Existing,0,313320.874,4838767.333000001,-79.39430315199999,43.688805787,"{u'type': u'Point', u'coordinates': (-79.3943031528, 43.6888057915)}"
7633070,20168,BP-27847,955,Queen St W,Queen St W,South,Massey St,West,,10.0,West Queen West,Ring,Existing,0,311716.61,4833904.274,-79.414265486,43.645048478999996,"{u'type': u'Point', u'coordinates': (-79.4142654831, 43.6450484853)}"
7633071,20169,BP-27857,965,Queen St W,Queen St W,South,Massey St,West,,10.0,West Queen West,Ring,Existing,0,311706.411,4833901.645,-79.41439193800001,43.64502491100001,"{u'type': u'Point', u'coordinates': (-79.4143919378, 43.6450249154)}"
7633072,20170,BP-27880,999,Queen St W,Queen St W,South,Ossington Ave,East,,10.0,West Queen West,Ring,Existing,0,311372.131,4833805.675,-79.41853665,43.644164083,"{u'type': u'Point', u'coordinates': (-79.4185366514, 43.6441640827)}"
